iter	Passed	Remaining
468	680	770
469	682	769
470	683	768
471	684	766
472	685	763
473	686	761
474	686	759
475	687	756
476	687	754
477	688	751
478	689	749
479	689	747
480	690	745
481	691	742
482	691	740
483	692	738
484	692	735
485	693	733
486	694	731
487	695	729
488	695	726
489	697	725
490	698	723
491	699	722
492	701	720
493	702	719
494	703	717
495	703	715
496	704	712
497	705	710
498	705	708
499	706	706
500	706	704
501	707	701
502	708	699
503	708	697
504	709	695
505	710	693
506	711	691
507	712	690
508	713	688
509	714	686
510	715	684
511	716	682
512	716	680
513	717	678
514	718	676
515	719	674
516	719	672
517	720	670
518	721	668
519	721	666
520	722	664
521	722	662
522	723	659
523	724	657
524	724	655
525	725	653
526	727	652
527	728	651
528	729	649
529	730	647
530	731	645
531	732	644
532	732	641
533	733	639
534	733	637
535	734	636
536	735	634
537	735	631
538	736	629
539	737	627
540	737	625
541	738	623
542	738	621
543	739	619
544	740	617
545	741	616
546	742	615
547	744	613
548	745	612
549	745	610
550	746	608
551	747	606
552	748	604
553	748	602
554	749	600
555	749	598
556	750	596
557	750	594
558	751	592
559	752	591
560	753	589
561	753	587
562	754	585
563	754	583
564	756	582
565	757	581
566	758	579
567	759	577
568	760	576
569	761	574
570	762	572
571	762	570
572	763	568
573	764	567
574	764	565
575	765	563
576	766	561
577	766	559
578	767	558
579	768	556
580	768	554
581	769	552
582	770	550
583	771	549
584	772	548
585	773	546
586	774	545
587	775	543
588	775	541
589	776	539
590	777	537
591	777	536
592	778	534
593	779	532
594	779	530
595	780	529
596	781	527
597	781	525
598	782	523
599	783	522
600	783	520
601	784	518
602	785	516
603	786	515
604	787	514
605	789	513
606	790	511
607	791	510
608	792	508
609	792	506
610	793	505
611	793	503
612	794	501
613	795	500
614	795	498
615	796	496
616	797	495
617	798	493
618	798	491
619	799	489
620	800	488
621	802	487
622	803	486
623	803	484
624	804	482
625	805	481
626	806	479
627	806	477
628	807	476
629	807	474
630	808	472
631	809	471
632	809	469
633	810	467
634	811	466
635	811	464
636	812	462
637	812	461
638	813	459
639	814	457
640	815	456
641	816	455
642	818	454
643	819	452
644	820	451
645	820	449
646	821	448
647	822	446
648	822	445
649	823	443
650	824	441
651	824	440
652	825	438
653	826	437
654	826	435
655	827	433
656	827	432
657	828	430
658	829	429
659	830	427
660	831	426
661	833	425
662	834	423
663	834	422
664	835	420
665	836	419
666	836	417
667	837	416
668	837	414
669	838	413
670	839	411
671	840	410
672	841	408
673	841	407
674	842	405
675	843	404
676	843	402
677	844	401
678	845	399
679	847	398
680	848	397
681	849	395
682	849	394
683	850	393
684	851	391
685	852	390
686	853	388
687	853	387
688	854	385
689	854	384
690	855	382
691	856	381
692	856	379
693	857	378
694	858	376
695	858	375
696	860	373
697	861	372
698	863	371
699	863	370
700	864	368
701	865	367
702	865	365
703	866	364
704	866	362
705	867	361
706	868	359
707	868	358
708	869	356
709	870	355
710	870	353
711	871	352
712	871	350
713	872	349
714	873	348
715	873	346
716	875	345
717	876	344
718	878	343
719	878	341
720	879	340
721	880	339
722	881	337
723	881	336
724	882	334
725	883	333
726	883	331
727	884	330
728	884	328
729	885	327
730	886	326
731	886	324
732	887	323
733	888	321
734	888	320
735	890	319
736	893	318
737	896	318
738	899	317
739	900	316
740	904	316
741	907	315
742	910	314
743	911	313
744	912	312
745	914	311
746	916	310
747	919	309
748	921	308
749	923	307
750	924	306
751	925	305
752	927	304
753	929	303
754	932	302
755	934	301
756	936	300
757	938	299
758	940	298
759	941	297
760	943	296
761	944	295
762	946	294
763	948	292
764	949	291
765	950	290
766	951	289
767	952	287
768	953	286
769	954	285
770	955	283
771	955	282
772	956	280
773	957	279
774	958	278
775	959	276
776	960	275
777	961	274
778	962	273
779	963	271
780	964	270
781	965	269
782	966	267
783	966	266
784	967	265
785	968	263
786	968	262
787	969	260
788	970	259
789	970	258
790	971	256
791	972	255
792	972	253
793	973	252
794	974	251
795	975	250
796	976	248
797	978	247
798	978	246
799	979	244
800	980	243
801	981	242
802	981	240
803	982	239
804	983	238
805	983	236
806	984	235
807	984	234
808	985	232
809	986	231
810	986	229
811	987	228
812	988	227
813	989	226
814	991	224
815	992	223
816	993	222
817	993	221
818	994	219
819	995	218
820	996	217
821	997	215
822	997	214
823	998	213
824	999	211
825	999	210
826	1000	209
827	1001	207
828	1001	206
829	1002	205
830	1003	204
831	1004	202
832	1072	214
833	1074	213
834	1078	213
835	1080	212
836	1082	210
837	1085	209
838	1089	209
839	1091	207
840	1093	206
841	1094	205
842	1096	204
843	1098	203
844	1100	201
845	1103	200
846	1105	199
847	1107	198
848	1109	197
849	1110	195
850	1112	194
851	1115	193
852	1118	192
853	1119	191
854	1120	190
855	1122	188
856	1123	187
857	1124	186
858	1125	184
859	1126	183
860	1127	182
861	1130	180
862	1131	179
863	1133	178
864	1134	177
865	1136	175
866	1137	174
867	1138	173
868	1138	171
869	1139	170
870	1140	168
871	1141	167
872	1141	166
873	1142	164
874	1143	163
875	1145	162
876	1146	160
877	1147	159
878	1148	158
879	1149	156
880	1149	155
881	1150	153
882	1150	152
883	1151	151
884	1152	149
885	1152	148
886	1153	146
887	1153	145
888	1154	144
889	1154	142
890	1155	141
891	1156	140
892	1156	138
893	1157	137
894	1158	135
895	1159	134
896	1160	133
897	1161	131
898	1162	130
899	1163	129
900	1164	127
901	1165	126
902	1165	125
903	1166	123
904	1167	122
905	1167	121
906	1168	119
907	1168	118
908	1169	117
909	1170	115
910	1170	114
911	1171	113
912	1172	111
913	1172	110
914	1173	109
915	1175	107
916	1176	106
917	1177	105
918	1178	103
919	1178	102
920	1179	101
921	1180	99
922	1180	98
923	1181	97
924	1181	95
925	1182	94
926	1183	93
927	1184	91
928	1184	90
929	1185	89
930	1185	87
931	1186	86
932	1187	85
933	1187	83
934	1188	82
935	1190	81
936	1191	80
937	1192	78
938	1193	77
939	1194	76
940	1195	74
941	1195	73
942	1196	72
943	1196	71
944	1197	69
945	1198	68
946	1198	67
947	1199	65
948	1199	64
949	1200	63
950	1201	61
951	1202	60
952	1202	59
953	1203	58
954	1205	56
955	1206	55
956	1207	54
957	1208	52
958	1208	51
959	1209	50
960	1210	49
961	1210	47
962	1211	46
963	1212	45
964	1212	43
965	1213	42
966	1213	41
967	1214	40
968	1215	38
969	1215	37
970	1216	36
971	1216	35
972	1217	33
973	1218	32
974	1220	31
975	1221	30
976	1223	28
977	1224	27
978	1224	26
979	1225	25
980	1226	23
981	1226	22
982	1227	21
983	1228	19
984	1228	18
985	1229	17
986	1229	16
987	1230	14
988	1231	13
989	1231	12
990	1232	11
991	1232	9
992	1233	8
993	1235	7
994	1236	6
995	1237	4
996	1238	3
997	1239	2
998	1240	1
999	1241	0
